drug_id,generic_name,molecular_formula,molecular_weight,smiles
5424,tepotinib,C29H28N6O2,492.6,CN1CCC(CC1)COC2=CN=C(N=C2)C3=CC=CC(=C3)CN4C(=O)C=CC(=N4)C5=CC=CC(=C5)C#N
916,diphenhydramine,C17H21NO,255.35,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2
5429,gallium (68Ga) gozetotide,C44H59GaN6O17,1011.9,[H+].C1=CC(=C(C=C1CCC(=O)NCCCCCC(=O)NCCCCC(C(=O)O)NC(=O)NC(CCC(=O)O)C(=O)O)CN(CCN(CC2=C(C=CC(=C2)CCC(=O)O)[O-])CC(=O)[O-])CC(=O)[O-])[O-].[Ga+3]
5431,tirbanibulin,C26H29N3O3,431.5,C1COCCN1CCOC2=CC=C(C=C2)C3=CN=C(C=C3)CC(=O)NCC4=CC=CC=C4
5471,mobocertinib,C32H39N7O4,585.7,CC(C)OC(=O)C1=CN=C(N=C1C2=CN(C3=CC=CC=C32)C)NC4=C(C=C(C(=C4)NC(=O)C=C)N(C)CCN(C)C)OC
5504,abrocitinib,C14H21N5O2S,323.42,CCCS(=O)(=O)NC1CC(C1)N(C)C2=NC=NC3=C2C=CN3
5506,mitapivat,C24H26N4O3S,450.6,C1CC1CN2CCN(CC2)C(=O)C3=CC=C(C=C3)NS(=O)(=O)C4=CC=CC5=C4N=CC=C5
5511,mavacamten,C15H19N3O2,273.33,CC(C)N1C(=O)C=C(NC1=O)NC(C)C2=CC=CC=C2
39,acarbose,C25H43NO18,645.6,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(C=O)O)O)CO)O)O)NC3C=C(C(C(C3O)O)O)CO
5521,tapinarof,C17H18O2,254.32,CC(C)C1=C(C=C(C=C1O)C=CC2=CC=CC=C2)O
35,abarelix,C72H95ClN14O14,1416.1,CC(C)CC(C(=O)NC(CCCCNC(C)C)C(=O)N1CCCC1C(=O)NC(C)C(=O)N)NC(=O)C(CC(=O)N)NC(=O)C(CC2=CC=C(C=C2)O)N(C)C(=O)C(CO)NC(=O)C(CC3=CN=CC=C3)NC(=O)C(CC4=CC=C(C=C4)Cl)NC(=O)C(CC5=CC6=CC=CC=C6C=C5)NC(=O)C
78,acitretin,C21H26O3,326.4,CC1=CC(=C(C(=C1C=CC(=CC=CC(=CC(=O)O)C)C)C)C)OC
24,phenylbutanoic acid,C10H12O2,164.20,C1=CC=C(C=C1)CCCC(=O)O
